                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.77213,                0.60235,                 1.0381,                0.75413,                0.76149,                0.76015,                0.53478,                0.95593,                0.82414,                  1.196,             0.00073704,             0.00073704,             0.00073704
                     36,                 0.7787,                0.59688,                 1.0438,                0.78534,                0.79848,                0.78904,                 0.5296,                0.90505,                0.81791,                 1.1784,             0.00072604,             0.00072604,             0.00072604
                     37,                0.78551,                0.59459,                 1.0385,                0.73971,                0.72166,                0.74222,                0.52733,                 0.9222,                0.77894,                 1.1837,             0.00071504,             0.00071504,             0.00071504
                     38,                0.78401,                0.58795,                 1.0387,                0.74873,                0.68622,                0.72462,                0.52113,                0.94915,                0.93392,                 1.2056,             0.00070404,             0.00070404,             0.00070404
                     39,                0.76982,                0.56699,                 1.0341,                0.73315,                0.77695,                0.76321,                0.54448,                0.87291,                0.82964,                 1.1585,             0.00069304,             0.00069304,             0.00069304
                     40,                0.76614,                0.56616,                 1.0217,                 0.8272,                0.71401,                0.73337,                0.53451,                0.83924,                0.82409,                 1.1645,             0.00068204,             0.00068204,             0.00068204
                     41,                0.75765,                0.55834,                 1.0345,                0.77372,                0.73242,                0.76273,                 0.5298,                0.87048,                0.87743,                 1.1882,             0.00067104,             0.00067104,             0.00067104
                     42,                0.76107,                0.56661,                 1.0249,                0.71614,                0.74136,                0.70839,                0.50662,                0.90605,                0.88948,                 1.1674,             0.00066005,             0.00066005,             0.00066005
                     43,                0.75345,                0.56746,                 1.0255,                0.72491,                0.74909,                0.74905,                 0.5261,                0.94241,                0.79329,                 1.1984,             0.00064905,             0.00064905,             0.00064905
                     44,                0.74816,                0.55462,                 1.0116,                0.73989,                0.83069,                0.74278,                0.50733,                 0.9319,                0.89313,                 1.2092,             0.00063805,             0.00063805,             0.00063805
                     45,                0.74232,                0.54036,                 1.0232,                0.79386,                0.73821,                0.77983,                 0.5459,                0.89627,                0.79109,                 1.1974,             0.00062705,             0.00062705,             0.00062705
                     46,                0.74005,                0.53598,                 1.0199,                0.70965,                0.65321,                0.76902,                0.52543,                0.93422,                0.80887,                 1.1905,             0.00061605,             0.00061605,             0.00061605
                     47,                0.74046,                0.53618,                 1.0172,                0.76062,                0.73376,                0.74532,                0.53289,                0.90632,                0.87571,                 1.1597,             0.00060505,             0.00060505,             0.00060505
                     48,                0.74485,                0.53288,                 1.0238,                0.76421,                0.71968,                0.75267,                0.53531,                0.90142,                0.91314,                 1.1824,             0.00059405,             0.00059405,             0.00059405
