                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.83234,                0.63181,                 1.1679,                0.71437,                0.81767,                0.81569,                 0.5446,                0.96415,                0.70566,                 1.2617,             0.00086169,             0.00086169,             0.00086169
                     36,                0.84689,                0.62151,                 1.1784,                0.74573,                0.80559,                0.79453,                0.56045,                0.92469,                0.75149,                 1.2735,             0.00085436,             0.00085436,             0.00085436
                     37,                0.86034,                0.62651,                 1.1775,                0.76661,                0.76928,                0.77677,                0.54629,                 0.9411,                0.78475,                 1.2362,             0.00084703,             0.00084703,             0.00084703
                     38,                0.83863,                   0.61,                 1.1689,                0.70858,                0.79516,                0.80189,                0.55512,                0.89731,                0.77761,                 1.2783,             0.00083969,             0.00083969,             0.00083969
                     39,                0.82299,                0.60757,                 1.1666,                0.71599,                0.69746,                0.74509,                0.53378,                0.87518,                0.84809,                 1.2121,             0.00083236,             0.00083236,             0.00083236
                     40,                0.81909,                 0.5991,                 1.1533,                0.72757,                 0.8309,                0.82659,                0.54969,                0.89924,                0.77677,                 1.2501,             0.00082503,             0.00082503,             0.00082503
                     41,                0.80348,                 0.5844,                 1.1635,                0.81874,                0.70214,                0.78337,                0.52932,                 0.9236,                0.76764,                 1.2761,              0.0008177,              0.0008177,              0.0008177
                     42,                0.81298,                0.58214,                 1.1404,                0.72882,                0.77977,                0.80047,                0.55172,                0.91211,                0.74118,                 1.2203,             0.00081036,             0.00081036,             0.00081036
                     43,                0.79492,                0.57205,                 1.1545,                0.80137,                0.80276,                0.83875,                0.56239,                0.91097,                0.78308,                 1.2703,             0.00080303,             0.00080303,             0.00080303
                     44,                0.77944,                0.56273,                 1.1274,                0.75525,                0.74756,                0.75924,                0.52378,                0.96095,                0.79549,                 1.3005,              0.0007957,              0.0007957,              0.0007957
                     45,                0.79999,                0.55238,                 1.1556,                0.74332,                0.85073,                0.81964,                0.53936,                0.91846,                0.73383,                 1.2761,             0.00078837,             0.00078837,             0.00078837
                     46,                0.78716,                0.54725,                 1.1374,                0.81256,                0.75471,                0.80443,                0.57722,                0.87562,                0.67631,                 1.2544,             0.00078103,             0.00078103,             0.00078103
                     47,                0.79106,                0.55207,                 1.1335,                0.83985,                0.73544,                0.81324,                0.57221,                0.89882,                 0.7258,                 1.2246,              0.0007737,              0.0007737,              0.0007737
                     48,                0.78736,                0.53953,                 1.1482,                0.76798,                0.80498,                0.81164,                0.56381,                0.90333,                0.70031,                 1.2241,             0.00076637,             0.00076637,             0.00076637
                     49,                0.77242,                0.53657,                 1.1309,                0.75491,                0.83616,                0.84011,                0.56082,                0.89412,                0.68996,                 1.2136,             0.00075904,             0.00075904,             0.00075904
                     50,                0.76817,                0.53127,                 1.1116,                0.82576,                0.80502,                0.83962,                0.57852,                0.85439,                0.62651,                 1.2044,              0.0007517,              0.0007517,              0.0007517
                     51,                0.75383,                 0.5303,                 1.1113,                0.77661,                0.79011,                0.82949,                0.57992,                 0.8847,                0.57405,                 1.2139,             0.00074437,             0.00074437,             0.00074437
                     52,                0.75332,                0.52594,                  1.119,                0.83185,                0.86139,                0.86289,                0.57945,                0.91206,                 0.6425,                  1.252,             0.00073704,             0.00073704,             0.00073704
                     53,                0.75735,                0.53145,                 1.1144,                0.83988,                0.76816,                0.82415,                0.55971,                0.90509,                0.69216,                 1.2306,              0.0007297,              0.0007297,              0.0007297
                     54,                0.75661,                0.52154,                 1.1258,                0.77709,                0.76785,                0.79586,                0.56044,                0.87196,                0.73228,                 1.2118,             0.00072237,             0.00072237,             0.00072237
                     55,                0.74827,                0.51672,                 1.1116,                0.73248,                0.85685,                0.84341,                0.59707,                 0.8781,                 0.6625,                 1.2149,             0.00071504,             0.00071504,             0.00071504
                     56,                0.75253,                0.53553,                 1.1222,                0.77092,                0.84546,                0.84474,                0.56705,                0.87404,                0.61804,                 1.1882,             0.00070771,             0.00070771,             0.00070771
                     57,                0.75288,                 0.5009,                 1.1143,                0.80725,                0.80807,                0.80475,                0.57874,                0.85617,                0.59005,                 1.1949,             0.00070037,             0.00070037,             0.00070037
                     58,                0.74519,                0.51117,                 1.1128,                0.81661,                0.78316,                 0.8045,                0.56544,                0.88418,                 0.6317,                 1.2171,             0.00069304,             0.00069304,             0.00069304
                     59,                0.74909,                0.49217,                 1.1184,                0.77407,                 0.7609,                0.78937,                0.55545,                0.91244,                0.66168,                 1.2707,             0.00068571,             0.00068571,             0.00068571
                     60,                0.71436,                0.49129,                 1.0855,                0.81077,                0.80791,                0.81516,                0.57673,                0.92817,                0.68462,                 1.3286,             0.00067838,             0.00067838,             0.00067838
                     61,                0.74122,                0.50305,                 1.1111,                0.83859,                0.80944,                0.80963,                0.56966,                0.88534,                0.76756,                 1.2593,             0.00067104,             0.00067104,             0.00067104
                     62,                0.74968,                0.50962,                 1.1294,                0.69837,                0.86006,                 0.8253,                0.57658,                0.87617,                0.68154,                 1.2662,             0.00066371,             0.00066371,             0.00066371
                     63,                0.72691,                0.48175,                 1.1061,                0.79405,                0.78347,                0.81279,                0.56549,                0.88897,                0.72671,                 1.3054,             0.00065638,             0.00065638,             0.00065638
                     64,                0.74004,                 0.4943,                 1.1024,                0.82005,                0.74449,                0.81001,                0.57142,                0.93622,                0.69303,                 1.2909,             0.00064905,             0.00064905,             0.00064905
                     65,                0.70759,                0.47644,                 1.0943,                0.75713,                0.76848,                0.77704,                0.53856,                0.94474,                0.74737,                 1.2871,             0.00064171,             0.00064171,             0.00064171
                     66,                0.69869,                0.46446,                 1.0862,                0.76266,                0.80448,                0.80959,                0.56488,                0.89805,                0.73754,                 1.3177,             0.00063438,             0.00063438,             0.00063438
                     67,                0.70582,                0.47759,                 1.0902,                0.77072,                0.90886,                0.84684,                0.60426,                0.88092,                0.71795,                 1.2305,             0.00062705,             0.00062705,             0.00062705
                     68,                0.70536,                0.46136,                 1.0876,                0.72227,                 0.8541,                0.82046,                0.58089,                 0.8933,                0.65232,                 1.2394,             0.00061972,             0.00061972,             0.00061972
                     69,                0.70517,                0.46898,                 1.0932,                0.79241,                0.74917,                0.76768,                 0.5271,                0.90309,                0.72272,                 1.2682,             0.00061238,             0.00061238,             0.00061238
                     70,                0.68793,                0.47071,                 1.0711,                0.76381,                0.77136,                0.78974,                0.56763,                0.88168,                0.75415,                 1.2518,             0.00060505,             0.00060505,             0.00060505
                     71,                0.69756,                0.47206,                 1.0763,                0.80965,                0.83397,                0.81349,                 0.5889,                0.86336,                0.72489,                 1.2393,             0.00059772,             0.00059772,             0.00059772
                     72,                0.68827,                0.46097,                  1.085,                0.69494,                0.82056,                0.77515,                0.54651,                0.93295,                0.76025,                 1.3594,             0.00059039,             0.00059039,             0.00059039
                     73,                0.69215,                0.44585,                 1.0741,                0.73531,                0.91677,                 0.8589,                0.56624,                0.91185,                0.70306,                 1.2728,             0.00058305,             0.00058305,             0.00058305
                     74,                0.68668,                0.46224,                 1.0764,                0.69545,                0.78238,                0.76194,                0.55389,                0.85984,                0.71909,                 1.2545,             0.00057572,             0.00057572,             0.00057572
                     75,                 0.6734,                 0.4306,                 1.0665,                0.77768,                 0.7965,                0.83339,                0.58886,                  0.862,                0.65163,                 1.2092,             0.00056839,             0.00056839,             0.00056839
                     76,                0.68947,                0.44355,                 1.0735,                 0.7912,                0.81431,                0.82056,                0.57988,                0.87161,                0.63088,                 1.2445,             0.00056105,             0.00056105,             0.00056105
                     77,                0.67032,                0.44727,                 1.0757,                0.74052,                0.75008,                0.76283,                0.54702,                0.96376,                 0.7263,                 1.3642,             0.00055372,             0.00055372,             0.00055372
                     78,                0.66959,                0.43574,                 1.0637,                0.76392,                0.79942,                0.81267,                0.55523,                0.91447,                0.72173,                  1.234,             0.00054639,             0.00054639,             0.00054639
