                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.75885,                0.53223,                 1.0474,                0.79769,                0.77999,                 0.8052,                0.56049,                0.86539,                0.69283,                 1.1071,             0.00072604,             0.00072604,             0.00072604
                     37,                0.76965,                0.53337,                 1.0459,                0.80364,                0.81983,                0.84208,                0.57843,                0.92575,                0.67953,                 1.1303,             0.00071504,             0.00071504,             0.00071504
                     38,                0.76407,                0.53225,                 1.0471,                0.79983,                0.81923,                0.83285,                0.57005,                0.93688,                0.72328,                  1.161,             0.00070404,             0.00070404,             0.00070404
                     39,                0.76691,                0.51232,                 1.0487,                0.77866,                 0.8171,                0.82492,                0.58196,                0.88137,                0.63029,                 1.0735,             0.00069304,             0.00069304,             0.00069304
                     40,                0.75031,                0.50382,                  1.039,                0.81428,                 0.8472,                0.85756,                0.59989,                0.83936,                0.64258,                 1.0922,             0.00068204,             0.00068204,             0.00068204
                     41,                0.73089,                0.50547,                 1.0373,                0.81798,                0.83354,                0.87583,                0.61525,                0.86655,                0.63852,                   1.12,             0.00067104,             0.00067104,             0.00067104
                     42,                0.74363,                0.49878,                 1.0313,                0.76455,                0.86662,                0.82138,                0.58818,                0.85913,                0.63442,                  1.109,             0.00066005,             0.00066005,             0.00066005
                     43,                 0.7308,                0.49611,                 1.0346,                 0.7791,                0.83894,                0.82254,                0.59261,                0.82979,                0.68293,                 1.0949,             0.00064905,             0.00064905,             0.00064905
                     44,                0.72046,                0.48496,                 1.0172,                0.79002,                0.84534,                0.85373,                0.55274,                0.93461,                0.72831,                 1.1942,             0.00063805,             0.00063805,             0.00063805
                     45,                 0.7357,                0.48029,                 1.0344,                0.75561,                0.83342,                0.84232,                0.59796,                0.84671,                0.64292,                 1.1444,             0.00062705,             0.00062705,             0.00062705
                     46,                0.72895,                0.48319,                  1.026,                0.85101,                0.84266,                0.85021,                0.62873,                0.91221,                0.70071,                 1.1765,             0.00061605,             0.00061605,             0.00061605
                     47,                0.72414,                0.47712,                 1.0223,                0.78687,                0.83144,                0.81029,                0.57739,                 0.8706,                0.66424,                 1.1132,             0.00060505,             0.00060505,             0.00060505
                     48,                0.71925,                0.46197,                 1.0352,                0.83437,                0.73613,                0.80593,                0.57471,                0.91118,                0.72236,                 1.1231,             0.00059405,             0.00059405,             0.00059405
                     49,                0.69839,                  0.453,                 1.0085,                0.79023,                0.89662,                0.82492,                0.57352,                0.85843,                0.70053,                 1.0918,             0.00058305,             0.00058305,             0.00058305
                     50,                0.69617,                0.44999,                 1.0087,                0.80404,                0.87544,                0.84332,                0.58613,                 0.8463,                 0.7105,                 1.1119,             0.00057205,             0.00057205,             0.00057205
                     51,                0.69387,                0.44658,                 1.0096,                0.83224,                0.90614,                0.88294,                0.62567,                0.83423,                 0.6552,                 1.1195,             0.00056105,             0.00056105,             0.00056105
                     52,                0.68797,                0.44632,                 1.0111,                0.86611,                 0.8389,                0.85671,                0.60312,                0.83613,                0.63925,                 1.1209,             0.00055006,             0.00055006,             0.00055006
                     53,                0.68816,                0.45514,                 1.0103,                0.87146,                0.85493,                 0.8882,                0.60941,                0.87519,                0.65223,                 1.1117,             0.00053906,             0.00053906,             0.00053906
                     54,                 0.6852,                0.44539,                 1.0142,                0.84342,                0.80481,                0.85904,                0.62037,                0.82515,                0.62019,                  1.097,             0.00052806,             0.00052806,             0.00052806
                     55,                 0.6711,                0.43007,                0.99461,                 0.7203,                 0.8609,                0.83425,                0.58525,                0.86666,                0.61906,                 1.1125,             0.00051706,             0.00051706,             0.00051706
                     56,                0.68187,                0.44987,                 1.0137,                0.79071,                0.91713,                0.89648,                 0.6163,                0.87578,                0.54035,                 1.1059,             0.00050606,             0.00050606,             0.00050606
                     57,                0.66788,                 0.4254,                0.99413,                0.86114,                0.87468,                0.90695,                0.63452,                0.85707,                 0.5764,                 1.0867,             0.00049506,             0.00049506,             0.00049506
                     58,                0.66948,                0.43851,                 1.0059,                0.86311,                 0.8327,                0.87714,                0.63274,                0.85818,                0.58749,                 1.1087,             0.00048406,             0.00048406,             0.00048406
